date,n_tx,sum_kzt,n_active_nodes,is_spike
2026-07-01,115,7179460.96000000,167,False
2026-07-02,131,9362005.52000000,178,False
2026-07-03,181,12619867.75000000,226,False
2026-07-04,110,5949727.00000000,134,False
2026-07-05,127,7709833.68000000,166,False
2026-07-06,124,5313603.00000000,176,False
2026-07-07,150,9882395.00000000,189,False
2026-07-08,190,16175686.59000000,227,False
2026-07-09,156,10483391.00000000,180,False
2026-07-10,169,12024789.00000000,211,False
2026-07-11,140,9641088.85000000,172,False
2026-07-12,146,7683834.27000000,163,False
2026-07-13,182,14932615.00000000,211,False
2026-07-14,209,12248290.00000000,231,False
2026-07-15,157,11966562.53000000,191,False
2026-07-16,224,23732052.00000000,241,True
2026-07-17,133,11910171.00000000,169,False
2026-07-18,179,11189794.00000000,208,False
2026-07-19,169,11347544.00000000,195,False
2026-07-20,183,17127994.00000000,234,False
2026-07-21,168,15802115.75000000,213,False
2026-07-22,156,11975523.00000000,200,False
2026-07-23,190,13163751.62000000,213,False
2026-07-24,148,12535096.53000000,201,False
2026-07-25,111,7558228.00000000,148,False
2026-07-26,133,10041300.00000000,164,False
2026-07-27,153,10454396.02000000,202,False
2026-07-28,153,11139504.09000000,194,False
2026-07-29,146,12676800.92000000,175,False
2026-07-30,152,14320911.93000000,186,False
2026-07-31,155,17741679.00000000,198,False
