strategy,n_removed,gids
priority,0,
degree,0,
priority,5,100000008603629100;100000000331309100;100000005910114100;100000008165763100;100000008346837100
degree,5,100000002578405100;100000002527114100;100000000331309100;100000004400305100;100000003684369100
priority,10,100000008603629100;100000000331309100;100000005910114100;100000008165763100;100000008346837100;100000000437046100;100000008477350100;100000003115284100;100000004015047100;100000004400305100
degree,10,100000002578405100;100000002527114100;100000000331309100;100000004400305100;100000003684369100;100000003016635100;100000006866783100;100000008603629100;100000000437046100;100000008477350100
priority,20,100000008603629100;100000000331309100;100000005910114100;100000008165763100;100000008346837100;100000000437046100;100000008477350100;100000003115284100;100000004015047100;100000004400305100;100000005933757100;100000002398779100;100000004070318100;100000003242289100;100000004403675100;100000008489922100;100000004156082100;100000004351795100;100000008547948100;100000002957787100
degree,20,100000002578405100;100000002527114100;100000000331309100;100000004400305100;100000003684369100;100000003016635100;100000006866783100;100000008603629100;100000000437046100;100000008477350100;100000001697501100;100000000343175100;100000008489922100;100000002957787100;100000005933757100;100000005704413100;100000008346837100;100000008165763100;100000008460102100;100000008547948100
priority,50,100000008603629100;100000000331309100;100000005910114100;100000008165763100;100000008346837100;100000000437046100;100000008477350100;100000003115284100;100000004015047100;100000004400305100;100000005933757100;100000002398779100;100000004070318100;100000003242289100;100000004403675100;100000008489922100;100000004156082100;100000004351795100;100000008547948100;100000002957787100;100000008710791100;100000001857829100;100000007639767100;100000008304139100;100000008547844100;100000008686313100;100000005704413100;100000006518161100;100000004071080100;100000000332284100;100000005578559100;100000004569484100;100000007594394100;100000008517538100;100000008560717100;100000003741418100;100000003635170100;100000004759121100;100000008324800100;100000004486525100;100000004299488100;100000008730846100;100000000661912100;100000007442518100;100000001530983100;100000004707703100;100000002741024100;100000007055802100;100000003747133100;100000003265158100
degree,50,100000002578405100;100000002527114100;100000000331309100;100000004400305100;100000003684369100;100000003016635100;100000006866783100;100000008603629100;100000000437046100;100000008477350100;100000001697501100;100000000343175100;100000008489922100;100000002957787100;100000005933757100;100000005704413100;100000008346837100;100000008165763100;100000008460102100;100000008547948100;100000004156082100;100000007747786100;100000008304139100;100000008680731100;100000003242289100;100000008710791100;100000004070318100;100000005242320100;100000005578559100;100000001857829100;100000005910114100;100000008547844100;100000008748408100;100000008413748100;100000008517538100;100000004847758100;100000008466579100;100000003880331100;100000004351795100;100000008465789100;100000000089154100;100000003796063100;100000005498992100;100000005782781100;100000006707582100;100000006977207100;100000007593823100;100000008743913100;100000001530983100;100000002723538100
priority,100,100000008603629100;100000000331309100;100000005910114100;100000008165763100;100000008346837100;100000000437046100;100000008477350100;100000003115284100;100000004015047100;100000004400305100;100000005933757100;100000002398779100;100000004070318100;100000003242289100;100000004403675100;100000008489922100;100000004156082100;100000004351795100;100000008547948100;100000002957787100;100000008710791100;100000001857829100;100000007639767100;100000008304139100;100000008547844100;100000008686313100;100000005704413100;100000006518161100;100000004071080100;100000000332284100;100000005578559100;100000004569484100;100000007594394100;100000008517538100;100000008560717100;100000003741418100;100000003635170100;100000004759121100;100000008324800100;100000004486525100;100000004299488100;100000008730846100;100000000661912100;100000007442518100;100000001530983100;100000004707703100;100000002741024100;100000007055802100;100000003747133100;100000003265158100;100000006734214100;100000003854444100;100000008692291100;100000008111003100;100000008743913100;100000002838861100;100000005782781100;100000003880331100;100000004847758100;100000008636603100;100000007998965100;100000005242320100;100000004188160100;100000005830339100;100000000291906100;100000003249054100;100000008104567100;100000008512827100;100000002723538100;100000008748408100;100000008466579100;100000001660397100;100000006069103100;100000008086440100;100000007908818100;100000005473151100;100000006889963100;100000006977207100;100000003684369100;100000005074393100;100000008546855100;100000008413748100;100000006274203100;100000008465789100;100000003796063100;100000008379273100;100000003701161100;100000008710843100;100000002849158100;100000004479404100;100000008748914100;100000004997515100;100000005514161100;100000004150593100;100000008461532100;100000003213473100;100000008512552100;100000000489417100;100000008731444100;100000003071930100
degree,100,100000002578405100;100000002527114100;100000000331309100;100000004400305100;100000003684369100;100000003016635100;100000006866783100;100000008603629100;100000000437046100;100000008477350100;100000001697501100;100000000343175100;100000008489922100;100000002957787100;100000005933757100;100000005704413100;100000008346837100;100000008165763100;100000008460102100;100000008547948100;100000004156082100;100000007747786100;100000008304139100;100000008680731100;100000003242289100;100000008710791100;100000004070318100;100000005242320100;100000005578559100;100000001857829100;100000005910114100;100000008547844100;100000008748408100;100000008413748100;100000008517538100;100000004847758100;100000008466579100;100000003880331100;100000004351795100;100000008465789100;100000000089154100;100000003796063100;100000005498992100;100000005782781100;100000006707582100;100000006977207100;100000007593823100;100000008743913100;100000001530983100;100000002723538100;100000003854444100;100000005665181100;100000008710843100;100000008748914100;100000002398779100;100000007442518100;100000007639767100;100000000332284100;100000001162560100;100000008512827100;100000008686313100;100000008742053100;100000003213473100;100000003741418100;100000004150593100;100000004160650100;100000008731444100;100000008733194100;100000000490383100;100000001526235100;100000002741024100;100000004071080100;100000004140487100;100000004358004100;100000004390333100;100000005287097100;100000005527892100;100000005612411100;100000008746449100;100000002731501100;100000003115284100;100000004015047100;100000004486525100;100000005048668100;100000005074393100;100000007908818100;100000008172352100;100000008389800100;100000008461532100;100000008512552100;100000008632060100;100000008730846100;100000000267734100;100000002175422100;100000002217161100;100000002224132100;100000002748180100;100000004076740100;100000004403675100;100000008752616100
