strategy,n_removed,n_components,largest_component,largest_share,seed_pairs_retained,flow_retained
priority,0,16.00000000,1877.00000000,0.83496441,1.00000000,0.93505003
degree,0,16.00000000,1877.00000000,0.83496441,1.00000000,0.93505003
random,0,16.00000000,1877.00000000,0.83496441,1.00000000,0.93505003
priority,5,49.00000000,1707.00000000,0.76103433,0.54291103,0.80620071
degree,5,59.00000000,1657.00000000,0.73874276,0.81680289,0.77982039
random,5,16.30000000,1869.80000000,0.83361569,0.98986561,0.93197253
priority,10,83.00000000,1568.00000000,0.70062556,0.42903175,0.73622790
degree,10,107.00000000,1428.00000000,0.63806971,0.35075448,0.66992327
random,10,16.80000000,1860.40000000,0.83127793,0.97834014,0.92472413
priority,20,96.00000000,1434.00000000,0.64362657,0.27758566,0.65570778
degree,20,135.00000000,1188.00000000,0.53321364,0.08715813,0.57026208
random,20,17.55000000,1847.50000000,0.82921903,0.97022556,0.91828196
priority,50,120.00000000,1233.00000000,0.56096451,0.19915121,0.53862663
degree,50,212.00000000,620.00000000,0.28207461,0.02326312,0.24936309
random,50,20.25000000,1799.60000000,0.81874431,0.92766819,0.88876611
priority,100,194.00000000,739.00000000,0.34404097,0.09517447,0.31154813
degree,100,292.00000000,82.00000000,0.03817505,0.01414649,0.02496183
random,100,24.25000000,1719.85000000,0.80067505,0.85400817,0.84531359
